Date,Team,OppTeam,Spread,O/U,Location
2017-10-17,CLE,BOS,-4.5,216.0,home
2017-10-17,HOU,GSW,9.5,231.0,away
2017-10-17,BOS,CLE,4.5,216.0,away
2017-10-17,GSW,HOU,-9.5,231.0,home
2017-10-18,IND,BKN,-3.0,216.5,home
2017-10-18,HOU,SAC,-7.0,216.5,away
2017-10-18,POR,PHX,-2.5,219.5,away
2017-10-18,MIN,SAS,1.0,203.5,away
2017-10-18,DET,CHA,-2.5,202.0,home
2017-10-18,DEN,UTA,2.5,205.0,away
2017-10-18,ATL,DAL,5.5,199.0,away
2017-10-18,NOP,MEM,2.0,204.5,away
2017-10-18,MIL,BOS,1.5,203.0,away
2017-10-18,PHI,WAS,6.5,217.5,away
2017-10-18,MIA,ORL,-3.5,205.5,away
2017-10-18,CHA,DET,2.5,202.0,away
2017-10-18,BKN,IND,3.0,216.5,away
2017-10-18,DAL,ATL,-5.5,199.0,home
2017-10-18,SAC,HOU,7.0,216.5,home
2017-10-18,PHX,POR,2.5,219.5,home
2017-10-18,SAS,MIN,-1.0,203.5,home
2017-10-18,UTA,DEN,-2.5,205.0,home
2017-10-18,MEM,NOP,-2.0,204.5,home
2017-10-18,BOS,MIL,-1.5,203.0,home
2017-10-18,WAS,PHI,-6.5,217.5,home
2017-10-18,ORL,MIA,3.5,205.5,home
2017-10-19,CHI,TOR,13.5,206.5,away
2017-10-19,LAC,LAL,-6.5,219.0,away
2017-10-19,NYK,OKC,12.0,215.5,away
2017-10-19,OKC,NYK,-12.0,215.5,home
2017-10-19,LAL,LAC,6.5,219.0,home
2017-10-19,TOR,CHI,-13.5,206.5,home
2017-10-20,POR,IND,-5.5,218.5,away
2017-10-20,GSW,NOP,-9.0,221.0,away
2017-10-20,SAC,DAL,6.0,202.0,away
2017-10-20,UTA,MIN,4.5,197.0,away
2017-10-20,CHA,ATL,-4.5,205.5,home
2017-10-20,ORL,BKN,2.0,226.5,away
2017-10-20,DET,WAS,6.5,211.5,away
2017-10-20,BOS,PHI,3.0,216.5,away
2017-10-20,CLE,MIL,1.0,209.5,away
2017-10-20,LAL,PHX,3.5,220.5,away
2017-10-20,IND,POR,5.5,218.5,home
2017-10-20,ATL,CHA,4.5,205.5,away
2017-10-20,MIL,CLE,-1.0,209.5,home
2017-10-20,PHI,BOS,-3.0,216.5,home
2017-10-20,WAS,DET,-6.5,211.5,home
2017-10-20,BKN,ORL,-2.0,226.5,home
2017-10-20,MIN,UTA,-4.5,197.0,home
2017-10-20,DAL,SAC,-6.0,202.0,home
2017-10-20,NOP,GSW,9.0,221.0,home
2017-10-20,PHX,LAL,-3.5,220.5,home
2017-10-21,TOR,PHI,-9.0,219.0,home
2017-10-21,CHI,SAS,10.5,200.5,home
2017-10-21,CLE,ORL,-11.5,216.0,home
2017-10-21,HOU,DAL,-11.5,216.0,home
2017-10-21,UTA,OKC,4.0,200.0,home
2017-10-21,MIL,POR,-3.0,208.5,home
2017-10-21,LAC,PHX,-13.5,219.5,home
2017-10-21,MEM,GSW,8.5,213.0,home
2017-10-21,NYK,DET,1.0,204.5,home
2017-10-21,GSW,MEM,-8.5,213.0,away
2017-10-21,PHI,TOR,9.0,219.0,away
2017-10-21,DAL,HOU,11.5,216.0,away
2017-10-21,POR,MIL,3.0,208.5,away
2017-10-21,PHX,LAC,13.5,219.5,away
2017-10-21,OKC,UTA,-4.0,200.0,away
2017-10-21,SAC,DEN,12.5,212.5,away
2017-10-21,IND,MIA,9.5,214.0,away
2017-10-21,DET,NYK,-1.0,204.5,away
2017-10-21,DEN,SAC,-12.5,212.5,home
2017-10-21,MIA,IND,-9.5,214.0,home
2017-10-21,SAS,CHI,-10.5,200.5,away
2017-10-21,ORL,CLE,11.5,216.0,away
2017-10-22,BKN,ATL,-1.0,220.0,home
2017-10-22,OKC,MIN,-4.0,212.0,home
2017-10-22,LAL,NOP,5.5,222.0,home
2017-10-22,NOP,LAL,-5.5,222.0,away
2017-10-22,MIN,OKC,4.0,212.0,away
2017-10-22,ATL,BKN,1.0,220.0,away
2017-10-23,SAC,PHX,-2.5,206.5,away
2017-10-23,CHA,MIL,6.5,203.5,away
2017-10-23,PHI,DET,3.5,213.5,away
2017-10-23,MEM,HOU,8.0,213.5,away
2017-10-23,ATL,MIA,10.5,205.0,away
2017-10-23,GSW,DAL,-13.5,217.0,away
