,Date,Home Team,Away Team,Betting Score Spread,Final Score Spread,Betting Line Error
832,2018-02-11 00:00:00,ATL,DET,3.5,-3,6.5
754,2018-01-31 00:00:00,ATL,CHA,2.5,13,-10.5
5647,2022-01-28 00:00:00,ATL,BOS,-1.5,-16,14.5
5663,2022-01-30 00:00:00,ATL,LAL,-7.5,-8,0.5
5674,2022-01-31 00:00:00,ATL,TOR,2.0,6,-4.0
5697,2022-02-03 00:00:00,ATL,PHX,3.0,-9,12.0
738,2018-01-29 00:00:00,ATL,MIN,6.5,-5,11.5
5730,2022-02-08 00:00:00,ATL,IND,-12.5,-21,8.5
5755,2022-02-11 00:00:00,ATL,SAS,-8.5,15,-23.5
725,2018-01-27 00:00:00,ATL,WAS,3.5,25,-21.5
5781,2022-02-15 00:00:00,ATL,CLE,1.0,-8,9.0
5821,2022-02-26 00:00:00,ATL,TOR,-3.5,-27,23.5
704,2018-01-24 00:00:00,ATL,TOR,6.5,15,-8.5
5637,2022-01-26 00:00:00,ATL,SAC,-11.0,-17,6.0
5856,2022-03-03 00:00:00,ATL,CHI,2.0,-6,8.0
687,2018-01-22 00:00:00,ATL,UTA,2.5,-14,16.5
5935,2022-03-13 00:00:00,ATL,IND,-12.5,-3,-9.5
5940,2022-03-14 00:00:00,ATL,POR,-14.0,-9,-5.0
5966,2022-03-18 00:00:00,ATL,MEM,6.0,-15,21.0
674,2018-01-20 00:00:00,ATL,CHI,-2.0,16,-18.0
5983,2022-03-20 00:00:00,ATL,NOP,-5.0,5,-10.0
6021,2022-03-25 00:00:00,ATL,GSW,-2.0,-11,9.0
653,2018-01-17 00:00:00,ATL,NOP,2.5,-1,3.5
6067,2022-03-31 00:00:00,ATL,CLE,-6.5,-24,17.5
6083,2022-04-02 00:00:00,ATL,BKN,2.0,-7,9.0
640,2018-01-15 00:00:00,ATL,SAS,5.5,-3,8.5
6112,2022-04-06 00:00:00,ATL,WAS,-10.5,-15,4.5
5915,2022-03-11 00:00:00,ATL,LAC,-7.5,-6,-1.5
5599,2022-01-21 00:00:00,ATL,MIA,-1.5,-2,0.5
5582,2022-01-19 00:00:00,ATL,MIN,-1.5,-12,10.5
5572,2022-01-17 00:00:00,ATL,MIL,5.0,-7,12.0
926,2018-03-02 00:00:00,ATL,GSW,13.0,5,8.0
4926,2021-06-27 00:00:00,ATL,MIL,4.5,11,-6.5
4928,2021-06-29 00:00:00,ATL,MIL,9.0,-22,31.0
4931,2021-07-03 00:00:00,ATL,MIL,-3.5,11,-14.5
4951,2021-10-21 00:00:00,ATL,DAL,-2.5,-26,23.5
913,2018-02-28 00:00:00,ATL,IND,4.0,-5,9.0
4980,2021-10-25 00:00:00,ATL,DET,-11.5,-18,6.5
5034,2021-11-01 00:00:00,ATL,WAS,-5.5,-7,1.5
895,2018-02-26 00:00:00,ATL,LAL,2.0,19,-17.0
5057,2021-11-04 00:00:00,ATL,UTA,1.5,18,-16.5
5130,2021-11-14 00:00:00,ATL,MIL,-2.0,-20,18.0
5139,2021-11-15 00:00:00,ATL,ORL,-10.5,-18,7.5
5152,2021-11-17 00:00:00,ATL,BOS,-5.0,-11,6.0
5179,2021-11-20 00:00:00,ATL,CHA,-7.5,-10,2.5
5192,2021-11-22 00:00:00,ATL,OKC,-13.0,-12,-1.0
5230,2021-11-27 00:00:00,ATL,NYK,-8.0,9,-17.0
5272,2021-12-03 00:00:00,ATL,PHI,-2.5,2,-4.5
5287,2021-12-05 00:00:00,ATL,CHA,-7.5,3,-10.5
5321,2021-12-10 00:00:00,ATL,BKN,-2.0,8,-10.0
5344,2021-12-13 00:00:00,ATL,HOU,-10.5,6,-16.5
5369,2021-12-17 00:00:00,ATL,DEN,0.0,18,-18.0
817,2018-02-09 00:00:00,ATL,CLE,2.0,16,-14.0
5400,2021-12-22 00:00:00,ATL,ORL,-7.5,6,-13.5
